Conversacion,Perplexity
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""From the Shadows"" (2023)
Género: Suspense, Ciencia ficción, Terror
nan",4.28
"Usuario: ¿Tienes otra de animación?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Vaiana 2"" (2024)
Género: Animación, Aventura, Familia, Comedia
Tras recibir una inesperada llamada de...",4.32
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""¡Qué Huevos, Sofía!"" (2025)
Género: Comedia
nan",4.84
"Usuario: Busco algo de terror
Enrique: Otra gran opción sería esta:
""Destino final"" (2000)
Género: Terror
Al subir a un avión con destino a Paris, junto con sus compañeros de clase, Alex tiene una pre...",6.28
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""¡Qué Huevos, Sofía!"" (2025)
Género: Comedia
nan",6.35
"Usuario: ¿Tienes otra de terror?
Enrique: Esta otra podría interesarte:
""Destino final"" (2000)
Género: Terror
Al subir a un avión con destino a Paris, junto con sus compañeros de clase, Alex tiene una...",5.96
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""¡Qué Huevos, Sofía!"" (2025)
Género: Comedia
nan",5.18
"Usuario: Busco algo de terror
Enrique: Esta otra podría interesarte:
""Destino final"" (2000)
Género: Terror
Al subir a un avión con destino a Paris, junto con sus compañeros de clase, Alex tiene una pr...",6.25
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""My Massive Cock"" (2022)
Género: Documental
nan",4.91
"Usuario: ¿Tienes otra de animación?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Lilo & Stitch"" (2002)
Género: Animación, Familia, Comedia
Lilo es una niña hawaiana que se siente sol...",4.07
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""My Massive Cock"" (2022)
Género: Documental
nan",4.91
"Usuario: Me gustan las pelis de animación
Enrique: Esta otra podría interesarte:
""Lilo & Stitch"" (2002)
Género: Animación, Familia, Comedia
Lilo es una niña hawaiana que se siente sola y decide adopta...",4.49
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""My Massive Cock"" (2022)
Género: Documental
nan",5.5
"Usuario: ¿Tienes otra de animación?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Lilo & Stitch"" (2002)
Género: Animación, Familia, Comedia
Lilo es una niña hawaiana que se siente sol...",4.07
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Mufasa: El rey león"" (2024)
Género: Aventura, Familia, Animación
Rafiki debe transmitir la leyenda de Mu...",5.68
"Usuario: ¿Tienes otra de acción?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Karate Kid: Legends"" (2025)
Género: Acción, Aventura, Drama
Tras una tragedia familiar, el prodigio del ...",4.14
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Mufasa: El rey león"" (2024)
Género: Aventura, Familia, Animación
Rafiki debe transmitir la leyenda de Mufasa a la joven cac...",6.2
"Usuario: Me gustan las pelis de acción
Enrique: Otra gran opción sería esta:
""Karate Kid: Legends"" (2025)
Género: Acción, Aventura, Drama
Tras una tragedia familiar, el prodigio del kung fu Li Fong se...",4.41
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Mufasa: El rey león"" (2024)
Género: Aventura, Familia, Animación
Rafiki debe transmitir la leyenda de Mu...",5.68
"Usuario: Me gustan las pelis de acción
Enrique: Otra gran opción sería esta:
""Karate Kid: Legends"" (2025)
Género: Acción, Aventura, Drama
Tras una tragedia familiar, el prodigio del kung fu Li Fong se...",4.41
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Rosario"" (2025)
Género: Terror
nan",6.24
"Usuario: Me gustan las pelis de terror
Enrique: Esta otra podría interesarte:
""Destino final 5"" (2011)
Género: Terror, Misterio
Sam Lawton tiene una premonición sobre la destrucción de un puente colga...",5.44
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Rosario"" (2025)
Género: Terror
nan",3.75
"Usuario: ¿Tienes otra de terror?
Enrique: Esta otra podría interesarte:
""Destino final 5"" (2011)
Género: Terror, Misterio
Sam Lawton tiene una premonición sobre la destrucción de un puente colgante qu...",5.4
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Rosario"" (2025)
Género: Terror
nan",5.15
"Usuario: ¿Tienes otra de terror?
Enrique: Otra gran opción sería esta:
""Destino final 5"" (2011)
Género: Terror, Misterio
Sam Lawton tiene una premonición sobre la destrucción de un puente colgante que...",5.35
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""Death of a Unicorn"" (2025)
Género: Terror, Fantasía, Comedia
nan",4.18
"Usuario: Busco algo de acción
Enrique: Otra gran opción sería esta:
""Misión: Imposible - Sentencia mortal parte uno"" (2023)
Género: Acción, Aventura, Suspense
Ethan Hunt y la IMF emprenden la misión m...",5.13
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Death of a Unicorn"" (2025)
Género: Terror, Fantasía, Comedia
nan",3.9
"Usuario: Busco algo de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Misión: Imposible - Sentencia mortal parte uno"" (2023)
Género: Acción, Aventura, Suspense
Ethan Hunt y la I...",4.65
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""Death of a Unicorn"" (2025)
Género: Terror, Fantasía, Comedia
nan",4.73
"Usuario: ¿Tienes otra de acción?
Enrique: Otra gran opción sería esta:
""Misión: Imposible - Sentencia mortal parte uno"" (2023)
Género: Acción, Aventura, Suspense
Ethan Hunt y la IMF emprenden la misió...",4.97
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""El Mono"" (2025)
Género: Terror, Comedia
Cuando dos hermanos gemelos encuentran un misterioso mono de cuerda, una se...",5.29
"Usuario: Me gustan las pelis de acción
Enrique: Otra gran opción sería esta:
""Sonic 3: La película"" (2024)
Género: Acción, Ciencia ficción, Comedia, Familia
Sonic, Knuckles y Tails se reúnen para enfr...",4.46
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""El Mono"" (2025)
Género: Terror, Comedia
Cuando dos hermanos gemelos encuentran un misterioso mono de cuerda, un...",4.86
"Usuario: Busco algo de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Sonic 3: La película"" (2024)
Género: Acción, Ciencia ficción, Comedia, Familia
Sonic, Knuckles y Tails se r...",4.22
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""El Mono"" (2025)
Género: Terror, Comedia
Cuando dos hermanos gemelos encuentran un misterioso mono de cuerda, una serie de m...",5.3
"Usuario: ¿Tienes otra de acción?
Enrique: Otra gran opción sería esta:
""Sonic 3: La película"" (2024)
Género: Acción, Ciencia ficción, Comedia, Familia
Sonic, Knuckles y Tails se reúnen para enfrentars...",4.42
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Чинк - хвостатый детектив"" (2022)
Género: Animación, Comedia, Misterio, Aventura, Fami...",3.77
"Usuario: ¿Tienes otra de suspense?
Enrique: Esta otra podría interesarte:
""Soul to Squeeze"" (2025)
Género: Suspense, Drama, Ciencia ficción
Un joven intenta escapar de su torturada mente mientras se s...",4.55
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Чинк - хвостатый детектив"" (2022)
Género: Animación, Comedia, Misterio, Aventura, Familia
nan",4.93
"Usuario: Me gustan las pelis de suspense
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Soul to Squeeze"" (2025)
Género: Suspense, Drama, Ciencia ficción
Un joven intenta escapar de su ...",4.24
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""Чинк - хвостатый детектив"" (2022)
Género: Animación, Comedia, Misterio, Aventura, Familia
nan",4.23
"Usuario: ¿Tienes otra de suspense?
Enrique: Esta otra podría interesarte:
""Soul to Squeeze"" (2025)
Género: Suspense, Drama, Ciencia ficción
Un joven intenta escapar de su torturada mente mientras se s...",4.55
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Saint Catherine"" (2024)
Género: Terror
Una niña huérfana es rescatada de un ritual satánico y llevada al Instituto ...",4.37
"Usuario: Me gustan las pelis de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Pánico en el tren bala"" (2025)
Género: Acción, Suspense, Crimen, Drama
El pánico cunde en un tren ...",4.45
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Saint Catherine"" (2024)
Género: Terror
Una niña huérfana es rescatada de un ritual satánico y llevada al Instit...",4.07
"Usuario: ¿Tienes otra de acción?
Enrique: Otra gran opción sería esta:
""Pánico en el tren bala"" (2025)
Género: Acción, Suspense, Crimen, Drama
El pánico cunde en un tren bala hacia Tokio que explotará...",4.93
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Saint Catherine"" (2024)
Género: Terror
Una niña huérfana es rescatada de un ritual sat...",3.44
"Usuario: Me gustan las pelis de acción
Enrique: Esta otra podría interesarte:
""Pánico en el tren bala"" (2025)
Género: Acción, Suspense, Crimen, Drama
El pánico cunde en un tren bala hacia Tokio que ex...",4.91
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Stream"" (2024)
Género: Terror
Craven, un streamer con miles de seguidores en una plataforma de emisión en directo, ha p...",5.87
"Usuario: Me gustan las pelis de acción
Enrique: Otra gran opción sería esta:
""El protector"" (2022)
Género: Acción, Crimen, Drama
Cuda, un sicario de la mafia de Miami, deberá sacrificarlo todo para sa...",6.99
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Stream"" (2024)
Género: Terror
Craven, un streamer con miles de seguidores en una plataforma de emisión en direct...",5.57
"Usuario: Me gustan las pelis de acción
Enrique: Otra gran opción sería esta:
""El protector"" (2022)
Género: Acción, Crimen, Drama
Cuda, un sicario de la mafia de Miami, deberá sacrificarlo todo para sa...",6.99
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Stream"" (2024)
Género: Terror
Craven, un streamer con miles de seguidores en una plataforma de emisión en directo, ...",6.26
"Usuario: Me gustan las pelis de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""El protector"" (2022)
Género: Acción, Crimen, Drama
Cuda, un sicario de la mafia de Miami, deberá s...",6.3
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Van Gogh by Vincent"" (2025)
Género: Documental
nan",4.54
